"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование страницы заказа","Тестирование поля количества товаров в корзине","","1","0","8","0","0"
"Тестирование страницы заказа","Тестирование формы отправки заказа","","0","0","1","0","0"
